Z98.2,Còn dụng cụ dẫn lưu dịch não tuỷ,Mã nhánh,Z98,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,Các tình trạng sau phẫu thuật khác,0.0
Z98.8,Các tình trạng sau phẫu thuật xác định khác,Mã nhánh,Z98,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,Các tình trạng sau phẫu thuật khác,0.0
Z99,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",Mã,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
Z99.0,Phụ thuộc máy hút,Mã nhánh,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
Z99.1,Phụ thuộc máy thở,Mã nhánh,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
Z99.2,Phụ thuộc chạy thận nhân tạo,Mã nhánh,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
Z99.3,Phụ thuộc vào xe lăn,Mã nhánh,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
Z99.4,Phụ thuộc vào tim nhân tạo,Mã nhánh,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
Z99.8,Phụ thuộc vào các thiết bị và dụng cụ khác,Mã nhánh,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
Z99.9,Phụ thuộc vào thiết bị và dụng cụ không xác định,Mã nhánh,Z99,"Người có nguy cơ sức khoẻ tiềm ẩn liên quan đến tiền sử bản thân, tiền sử gia đình và một số tình trạng ảnh hưởng đến sức khoẻ",Các yếu tố ảnh hưởng đến tình trạng sức khoẻ và tiếp cận dịch vụ y tế,"Tình trạng phụ thuộc vào các thiết bị và dụng cụ, không phân loại nơi khác",0.0
,,,,,,,
,,,,,,,
Code,Nội dung,Phân loại,Mã ICD-10,Chương,Nhóm,Tên mã,
C76.0,"U ác vị trí khác và không rõ ràng của: Đầu, mặt và cổ",Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát","U ác đầu, mặt và cổ",
C76.1,U ác vị trí khác và không rõ ràng của: Ngực,Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát",U ác ngực,
C76.2,U ác vị trí khác và không rõ ràng của: Bụng,Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát",U ác bụng,
C76.3,U ác vị trí khác và không rõ ràng của: Vùng chậu,Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát",U ác vùng chậu,
C76.4,U ác vị trí khác và không rõ ràng của: Chi trên,Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát",U ác chi trên,
C76.5,U ác vị trí khác và không rõ ràng của: Chi dưới,Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát",U ác chi dưới,
C76.7,U ác ở vị trí không rõ ràng khác,Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát",U ác vị trí không rõ ràng khác,
C76.8,U ác với tổn thương chồng lấn của các vị trí khác và không rõ ràng,Mã nhánh,C76,U tân sinh,"U ác tính không điển hình, thứ phát",U ác tổn thương chồng lấn,
C77.0,"U ác thứ phát và không xác định của hạch vùng đầu, mặt, cổ",Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát","U ác hạch đầu, mặt, cổ",
C77.1,U ác thứ phát và không xác định của hạch trong lồng ngực,Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát",U ác hạch lồng ngực,
C77.2,U ác thứ phát và không xác định của hạch trong khoang bụng,Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát",U ác hạch bụng,
C77.3,U ác thứ phát và không xác định của hạch nách và hạch chi trên,Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát",U ác hạch nách và chi trên,
C77.4,U ác thứ phát và không xác định của hạch bẹn và hạch chi dưới,Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát",U ác hạch bẹn và chi dưới,
C77.5,U ác thứ phát và không xác định của hạch trong vùng chậu,Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát",U ác hạch vùng chậu,
C77.8,U ác thứ phát và không xác định của hạch của nhiều vùng,Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát",U ác hạch nhiều vùng,
C77.9,"U ác thứ phát và không xác định của hạch lympho, không xác định",Mã nhánh,C77,U tân sinh,"U ác tính không điển hình, thứ phát",U ác hạch lympho không xác định,
C78.0,U ác thứ phát của phổi,Mã nhánh,C78,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát phổi,
C78.1,U ác thứ phát của trung thất,Mã nhánh,C78,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát trung thất,
C78.2,U ác thứ phát của màng phổi,Mã nhánh,C78,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát màng phổi,
C79.0,U ác thứ phát của thận và bể thận,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát thận và bể thận,
C79.1,U ác thứ phát của bàng quang và cơ quan tiết niệu khác,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát bàng quang và tiết niệu,
C79.2,U ác thứ phát của da,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ justificar da,
C79.3,U ác thứ phát của não và màng não,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát não và màng não,
C79.4,U ác thứ phát khác và không xác định vị trí của hệ thần kinh,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát hệ thần kinh,
C79.5,U ác thứ phát của xương và tủy xương,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát xương và tủy xương,
C79.6,U ác thứ phát của buồng trứng,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát buồng trứng,
C79.7,U ác thứ phát của tuyến thượng thận,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát tuyến thượng thận,
C79.8,U ác thứ phát của các vị trí xác định khác,Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát vị trí xác định khác,
C79.9,"U ác thứ phát, vị trí không xác định",Mã nhánh,C79,U tân sinh,"U ác tính không điển hình, thứ phát",U ác thứ phát không xác định,
C80. Ascendancy0,"U ác tính, không xác định được vị trí nguyên phát",Mã nhánh,C80,U tân sinh,"U ác tính không điển hình, thứ phát",U ác không xác định vị trí nguyên phát,
C80.9,"U ác, không xác định vị trí nguyên phát",Mã nhánh,C80,U tân sinh,"U ác tính không điển hình, thứ phát",U ác không xác định,
C81.0,U lympho Hodgkin ưu thế lympho bào dạng nốt,Mã,C81.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Hodgkin dạng nốt,
C81.1,U lympho Hodgkin kinh điển thể xơ nốt,Mã,C81.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Hodgkin thể xơ nốt,
C81.2,U lympho Hodgkin kinh điển thể hỗn hợp tế bào,Mã,C81.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Hodgkin thể hỗn hợp,
C81.3,U lympho Hodgkin kinh điển thể giảm lympho bào,Mã,C81.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Hodgkin thể giảm lympho bào,
C81.4,U lympho Hodgkin (kinh điển) thể giàu lympho bào,Mã,C81.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Hodgkin thể giàu lympho bào,
C81.7,"U lympho Hodgkin kinh điển khác, không xác định",Mã,C81.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Hodgkin kinh điển khác,
C81.9,"U lympho Hodgkin, không đặc hiệu",Mã,C81.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Hodgkin không đặc hiệu,
C82.0,U lympho thể nang độ I,Mã,C82.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho thể nang độ I,
C82.1,U lympho thể nang độ II,Mã,C82.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho thể nang độ II,
C82.2,"U lympho thể nang độ III, không đặc hiệu",Mã,C82.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho thể nang độ III,
C82.3,U lympho thể nang độ IIIa,Mã,C82.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho thể nang độ IIIa,
C82.4,U lympho thể nang độ IIIb,Mã,C82.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho thể nang độ IIIb,
C82.5,U lympho trung tâm nang thể lan toả,Mã,C82.5,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho trung tâm nang lan toả,
C82.6,U lympho trung tâm nang thể da,Mã,C82.6,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho trung tâm nang thể da,
C82.7,U lympho thể nang khác,Mã,C82.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho thể nang khác,
C82.9,"U lympho thể nang, không đặc hiệu",Mã,C82.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho thể nang không đặc hiệu,
C83.0,U lympho không Hodgkin tế bào B nhỏ,Mã,C83.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào B nhỏ,
C83.1,U lympho không Hodgkin tế bào Mantle (áo nang),Mã,C83.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào Mantle,
C83.3,U lympho không Hodgkin tế bào B lớn lan toả,Mã,C83.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào B lớn lan toả,
C83.5,U lympho không Hodgkin dạng nguyên bào lympho (lan toả),Mã,C83.5,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho nguyên bào lympho,
C83.7,U lympho dạng Burkitt,Mã,C83.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Burkitt,
C83.8,Các thể khác của u lympho không Hodgkin,Mã,C83.8,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho không Hodgkin khác,
C83.9,"U lympho không Hodgkin thể lan toả, không đặc hiệu",Mã,C83.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho không Hodgkin không đặc hiệu,
C84.0,U lympho tế bào T nguyên phát ở da (Mycosis fungoides),Mã,C84.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào T da,
C84.1,Bệnh Sézary,Mã,C84.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh Sézary,
C84.4,"U lympho tế bào T ngoại vi, không phân loại nơi khác",Mã,C84.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào T ngoại vi,
C84.5,U lympho tế bào T/NK trưởng thành khác,Mã,C84.5,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào T/NK khác,
C84.6,"U lympho tế bào lớn bất sản, ALK-dương tính",Mã,C84.6,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào lớn ALK-dương tính,
C84.7,"U lympho tế bào lớn bất sản, ALK-âm tính",Mã,C84.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào lớn ALK-âm tính,
C84.8,"U lympho tế bào T ở da, không đặc hiệu",Mã,C84.8,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào T da không đặc hiệu,
C84.9,"U lympho tế bào T/NK trưởng thành, không đặc hiệu",Mã,C84.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào T/NK không đặc hiệu,
C85.1,"U lympho tế bào B, không đặc hiệu",Mã,C85.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào B không đặc hiệu,
C85.2,U lympho tế bào B lớn lan toả trung thất (tuyến ức),Mã,C85.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho tế bào B trung thất,
C85.7,Loại xác định khác của u lympho không Hodgkin,Mã,C85.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho không Hodgkin xác định khác,
C85.9,"U lympho không Hodgkin, loại không xác định",Mã,C85.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho không Hodgkin không xác định,
C88.0,Bệnh tăng globulin đại phân tử [Waldenstrom],Mã,C88.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh Waldenstrom,
C88.2,Bệnh lý chuỗi nặng khác,Mã,C88.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh lý chuỗi nặng,
C88.3,Bệnh tăng sinh miễn dịch ruột non,Mã,C88.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho Địa Trung Hải,
C88.4,U lympho vùng rìa ngoài hạch liên quan tổ chức lympho niêm mạc (MALT),Mã,C88.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U lympho MALT,
C88.7,Bệnh lý tăng sinh miễn dịch ác tính khác,Mã,C88.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh tăng sinh miễn dịch khác,
C88.9,Bệnh lý tăng sinh miễn dịch ác tính không đặc hiệu,Mã,C88.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh tăng sinh miễn dịch không đặc hiệu,
C90.0,Đa u tủy xương,Mã,C90.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Đa u tủy xương,
C90.1,Bệnh bạch cầu dòng Plasma [tương bào],Mã,C90.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tương bào,
C90.2,U tương bào ngoài tủy,Mã,C90.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U tương bào ngoài tủy,
C90.3,U tương bào đơn độc,Mã,C90.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U tương bào đơn độc,
C91.0,Bệnh bạch cầu cấp dòng lympho (ALL),Mã,C91.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp lympho,
C91.1,Bệnh bạch cầu mạn dòng lympho (CLL),Mã,C91.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu mạn lympho,
C91.3,Bệnh bạch cầu tế bào tiền lympho B,Mã,C91.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tiền lympho B,
C91.4,Bệnh bạch cầu tế bào tóc,Mã,C91.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tế bào tóc,
C91.5,Bệnh bạch cầu tế bào T trưởng thành,Mã,C91.5,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tế bào T trưởng thành,
C91.6,Bệnh bạch cầu tế bào tiền lympho T,Mã,C91.6,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tiền lympho T,
C91.7,Bệnh bạch cầu dòng lympho khác,Mã,C91.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu lympho khác,
C91.8,Bệnh bạch cầu tế bào B trưởng thành loại Burkitt,Mã,C91.8,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu Burkitt,
C91.9,"Bệnh bạch cầu dòng lympho, không đặc hiệu",Mã,C91.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu lympho không đặc hiệu,
C92.0,Bệnh bạch cầu cấp dòng tủy,Mã,C92.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp tủy,
C92.1,"Bệnh bạch cầu mạn dòng tủy [CML], BCR/ABL-dương tính",Mã,C92.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu mạn tủy,
C92.2,"Bệnh bạch cầu mạn dòng tủy không điển hình, BCR/ABL-âm tính",Mã,C92.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu mạn tủy không điển hình,
C92.3,U sarcom dòng tủy,Mã,C92.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U sarcom dòng tủy,
C92.4,Bệnh bạch cầu cấp thể tiền tủy bào (PML),Mã,C92.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp tiền tủy bào,
C92.5,Bệnh bạch cầu cấp dòng tủy mono,Mã,C92.5,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp tủy mono,
C92.6,Bệnh bạch cầu cấp dòng tủy có bất thường 11q23,Mã,C92.6,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tủy 11q23,
C92.7,Bệnh bạch cầu dòng tủy khác,Mã,C92.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tủy khác,
C92.8,Bệnh bạch cầu cấp dòng tủy có loạn sản đa dòng,Mã,C92.8,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tủy loạn sản,
C92.9,"Bệnh bạch cầu dòng tủy, không đặc hiệu",Mã,C92.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tủy không đặc hiệu,
C93.0,Bệnh bạch cầu cấp dòng mono,Mã,C93.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp mono,
C93.1,Bệnh bạch cầu mạn dòng tủy mono,Mã,C93.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu mạn mono,
C93.3,Bệnh bạch cầu dòng tủy mono tuổi vị thành niên,Mã,C93.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu tủy mono tuổi vị thành niên,
C93.7,Bệnh bạch cầu mono khác,Mã,C93.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu mono khác,
C93.9,Bệnh bạch cầu mono không đặc hiệu,Mã,C93.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu mono không đặc hiệu,
C94.0,Bệnh bạch cầu cấp dòng hồng cầu,Mã,C94.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp hồng cầu,
C94.2,Bệnh bạch cầu cấp dòng mẫu tiểu cầu,Mã,C94.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp mẫu tiểu cầu,
C94.3,Bệnh bạch cầu tế bào dòng dưỡng bào,Mã,C94.3,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu dưỡng bào,
C94.4,Bệnh toàn tủy cấp tính có xơ tủy,Mã,C94.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh toàn tủy cấp tính,
C94.6,"Bệnh rối loạn sinh tủy và tăng sinh tủy, không phân loại nơi khác",Mã,C94.6,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh rối loạn sinh tủy,
C94.7,Bệnh bạch cầu xác định khác,Mã,C94.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu xác định khác,
C95.0,Bệnh bạch cầu cấp loại tế bào không xác định,Mã,C95.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu cấp không xác định,
C95.1,Bệnh bạch cầu mạn loại tế bào không xác định,Mã,C95.1,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu mạn không xác định,
C95.7,"Bệnh bạch cầu khác, loại tế bào không xác định",Mã,C95.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu khác không xác định,
C95.9,Bệnh bạch cầu không xác định,Mã,C95.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh bạch cầu không xác định,
C96.0,Bệnh mô bào Langerhans đa ổ và đa hệ thống (Letterer-Siwe),Mã,C96.0,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh mô bào Langerhans đa ổ,
C96.2,Bệnh dưỡng bào tiến triển nhanh hệ thống,Mã,C96.2,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh dưỡng bào hệ thống,
C96.4,Sarcom tế bào đuôi gai (tế bào phụ),Mã,C96.4,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Sarcom tế bào đuôi gai,
C96.5,Bệnh mô bào Langerhans đa ổ và đơn hệ thống (Hand-Schüller-Christian),Mã,C96.5,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh mô bào Langerhans đơn hệ thống,
C96.6,Bệnh mô bào Langerhans đơn ổ,Mã,C96.6,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",Bệnh mô bào Langerhans đơn ổ,
C96.7,"U ác tính khác của mô dạng lympho, hệ tạo máu và mô liên quan",Mã,C96.7,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu","U ác khác của mô lympho, tạo máu",
C96.8,U sarcom mô bào,Mã,C96.8,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu",U sarcom mô bào,
C96.9,"U ác tính không đặc hiệu của mô dạng lympho, hệ tạo máu và mô liên quan",Mã,C96.9,U tân sinh,"U ác nguyên phát hệ lympho, tạo máu","U ác không đặc hiệu mô lympho, tạo máu",
C97,"U ác nhiều vị trí độc lập (nguyên phát), ung thư nguyên phát đa ổ",Mã,C97,U tân sinh,U ác tính,U ác nhiều vị trí độc lập,
D77*,Rối loạn máu và cơ quan tạo máu trong bệnh phân loại nơi khác,Mã,D77,"Bệnh máu, cơ quan tạo máu",Các bệnh khác của máu và cơ quan tạo máu,Rối loạn máu trong bệnh khác,
E90*,Rối loạn chuyển hoá và dinh dưỡng trong bệnh phân loại nơi khác,Mã,E90,"Bệnh nội tiết, dinh dưỡng",Rối loạn chuyển hoá,Rối loạn chuyển hoá trong bệnh khác,
G01*,Viêm màng não trong bệnh nhiễm khuẩn phân loại nơi khác,Mã,G01,Bệnh hệ thần kinh,Bệnh viêm hệ thần kinh trung ương,Viêm màng não trong bệnh nhiễm khuẩn,
G07*,"Áp xe nội sọ và u hạt nội sọ, áp xe nội tủy trong bệnh phân loại nơi khác",Mã,G07,Bệnh hệ thần kinh,Bệnh viêm hệ thần kinh trung ương,Áp xe nội sọ/u hạt trong bệnh khác,
G22*,Hội chứng Parkinson trong bệnh phân loại nơi khác,Mã,G22,Bệnh hệ thần kinh,Hội chứng ngoại tháp và rối loạn vận động,Hội chứng Parkinson trong bệnh khác,
G26*,Hội chứng ngoại tháp và rối loạn vận động trong bệnh phân loại nơi khác,Mã,G26,Bệnh hệ thần kinh,Hội chứng ngoại tháp và rối loạn vận động,Rối loạn ngoại tháp trong bệnh khác,
H82*,Hội chứng chóng mặt tiền đình trong bệnh phân loại nơi khác,Mã,H82,Bệnh tai và xương chũm,Bệnh của tai trong,Chóng mặt tiền đình trong bệnh khác,
J91*,Tràn dịch màng phổi trong bệnh phân loại nơi khác,Mã,J91,Bệnh hệ hô hấp,Bệnh khác của màng phổi,Tràn dịch màng phổi trong bệnh khác,
L86*,Dày sừng trong bệnh phân loại nơi khác,Mã,L86,Bệnh da và tổ chức dưới da,Các bệnh khác của da và tổ chức dưới da,Dày sừng trong bệnh khác,
M01.0*,Viêm khớp do não mô cầu (A39.8†),Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp do não mô cầu,
M01.00*,Viêm khớp do não mô cầu: nhiều vị trí,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu nhiều vị trí,
M01.01*,Viêm khớp do não mô cầu: vùng bả vai,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu vùng bả vai,
M01.02*,Viêm khớp do não mô cầu: cánh tay,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu cánh tay,
M01.03*,Viêm khớp do não mô cầu: cẳng tay,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu cẳng tay,
M01.04*,Viêm khớp do não mô cầu: bàn tay,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu bàn tay,
M01.05*,Viêm khớp do não mô cầu: vùng chậu và đùi,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu vùng chậu và đùi,
M01.06*,Viêm khớp do não mô cầu: cẳng chân,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu cẳng chân,
M01.07*,Viêm khớp do não mô cầu: cổ và bàn chân,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu cổ và bàn chân,
M01.08*,Viêm khớp do não mô cầu: vị trí khác,Mã,M01,"Bệnh cơ, xương, khớp",Bệnh khớp nhiễm trùng,Viêm khớp não mô cầu vị trí khác,
